,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
603,46.4561,46.56225,45.69922,44.67927,45.39923,44.20391,44.69773,47.12991,46.39149,45.26539,46.25765,46.53456,45.12232,46.03151,45.39462,44.5362,44.63773,44.79465,45.28385
604,50.03876,50.27127,48.59919,47.87198,48.81686,47.39212,47.9264,50.01403,49.62321,48.63876,49.80131,50.07339,48.35679,49.47975,48.72781,47.5999,48.04018,48.12428,48.4211
605,56.05126,56.54274,54.5824,53.85077,55.44808,53.63853,54.30874,56.30259,55.7385,55.21351,56.6712,56.25791,54.36459,56.36961,55.26936,53.35928,53.40955,54.59916,54.94543
606,76.83698,77.61962,74.25119,73.21535,76.7756,73.90591,72.82403,76.92906,76.16943,76.39195,78.6478,76.46868,74.0517,78.67082,76.20013,72.63987,74.02868,75.57862,75.51723
607,69.39851,70.85894,66.44957,65.94403,71.28022,68.26106,67.2779,68.94213,68.89298,70.86596,73.33746,68.57702,67.00425,73.29533,70.77524,65.1085,69.02638,69.9883,69.75177
608,47.00192,47.76578,44.97111,44.60626,50.76284,47.74563,48.70825,46.95343,47.01528,50.44314,51.92419,45.56403,45.55679,51.63273,49.8222,43.41072,48.42383,49.07853,49.12744
609,37.53457,37.92831,36.42926,36.02248,47.24401,41.97571,42.84941,37.87586,38.32252,47.305,47.17538,36.30704,36.87366,45.94705,43.77654,34.90913,42.83327,42.91921,43.46801
610,30.12087,30.09777,29.06912,28.64187,42.66487,33.79368,34.33726,30.19834,30.82321,43.14898,41.07257,29.16479,29.34095,37.98952,35.33529,27.88979,33.98765,34.68269,34.92369
611,25.0358,24.90765,24.3625,23.83264,36.70023,27.82308,28.26685,25.19739,25.73424,37.25632,34.79594,24.3993,24.41639,31.52344,28.94013,23.31253,28.22145,28.64321,28.56896
612,22.26514,22.09025,21.45315,20.98181,30.67212,24.48167,24.89543,22.26086,22.63594,31.01547,29.52361,21.52476,21.56437,27.30418,25.52184,20.53058,24.96213,25.03282,25.08526
